reporting_year,chapter_code,chapter_name,metric_group,metric_code,metric_name,amount_czk,source_url
2024,313,Ministerstvo práce a sociálních věcí,chapter_total,total_expenditure,Výdaje celkem,949524930500,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,pensions,Dávky důchodového pojištění,694867011690,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,family_support,Dávky státní sociální podpory a pěstounské péče,60715002880,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,sickness,Dávky nemocenského pojištění,47557940990,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,material_need,Dávky pomoci v hmotné nouzi,14603195390,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,disability,Dávky osobám se zdravotním postižením,3907386130,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,substitute_alimony,Náhradní výživné pro nezaopatřené dítě,272000780,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,other_social_benefits,Ostatní sociální dávky,832970,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,unemployment_support,Podpory v nezaměstnanosti,12903112150,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,care_allowance,Příspěvek na péči podle zákona o sociálních službách,41352871420,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,active_labour_policy,Aktivní politika zaměstnanosti celkem,1891608770,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,employment_insolvency,Výdaje spojené s realizací zákona č. 118/2000 Sb.,950588290,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,compensation_laws,Výdaje spojené s realizací odškodňovacích zákonů,347806000,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,benefit,disabled_employment_support,Příspěvek na podporu zaměstnávání osob se zdravotním postižením,11990186060,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,operations,state_administration_other,Ostatní výdaje organizačních složek státu,19942909420,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
2024,313,Ministerstvo práce a sociálních věcí,transfer,nonbenefit_transfers,Neinvestiční nedávkové transfery,37323372600,https://mf.gov.cz/assets/attachments/2025-04-28_H-Vysledky-rozpoctoveho-hospodareni-kapitol.pdf
